index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/13 20:10:26.852, 96 %, 32768 MiB, 11461 MiB, 21040 MiB
0, 2024/05/13 20:10:36.853, 100 %, 32768 MiB, 12307 MiB, 20194 MiB
0, 2024/05/13 20:10:46.854, 100 %, 32768 MiB, 12301 MiB, 20200 MiB
0, 2024/05/13 20:10:56.855, 100 %, 32768 MiB, 9839 MiB, 22662 MiB
0, 2024/05/13 20:11:06.855, 100 %, 32768 MiB, 13037 MiB, 19464 MiB
0, 2024/05/13 20:11:16.856, 100 %, 32768 MiB, 10923 MiB, 21578 MiB
0, 2024/05/13 20:11:26.857, 100 %, 32768 MiB, 11281 MiB, 21220 MiB
0, 2024/05/13 20:11:36.858, 100 %, 32768 MiB, 12643 MiB, 19858 MiB
0, 2024/05/13 20:11:46.858, 100 %, 32768 MiB, 10429 MiB, 22072 MiB
0, 2024/05/13 20:11:56.859, 100 %, 32768 MiB, 11979 MiB, 20522 MiB
0, 2024/05/13 20:12:06.860, 100 %, 32768 MiB, 13039 MiB, 19462 MiB
0, 2024/05/13 20:12:16.860, 97 %, 32768 MiB, 10357 MiB, 22144 MiB
0, 2024/05/13 20:12:26.861, 98 %, 32768 MiB, 13039 MiB, 19462 MiB
0, 2024/05/13 20:12:36.862, 100 %, 32768 MiB, 13037 MiB, 19464 MiB
0, 2024/05/13 20:12:46.863, 100 %, 32768 MiB, 11441 MiB, 21060 MiB
0, 2024/05/13 20:12:56.863, 100 %, 32768 MiB, 11953 MiB, 20548 MiB
0, 2024/05/13 20:13:06.864, 100 %, 32768 MiB, 9419 MiB, 23082 MiB
0, 2024/05/13 20:13:16.865, 100 %, 32768 MiB, 10793 MiB, 21708 MiB
0, 2024/05/13 20:13:26.866, 97 %, 32768 MiB, 11753 MiB, 20748 MiB
0, 2024/05/13 20:13:36.866, 100 %, 32768 MiB, 10111 MiB, 22390 MiB
0, 2024/05/13 20:13:46.867, 100 %, 32768 MiB, 11267 MiB, 21234 MiB
0, 2024/05/13 20:13:56.868, 100 %, 32768 MiB, 10283 MiB, 22218 MiB
0, 2024/05/13 20:14:06.869, 100 %, 32768 MiB, 12627 MiB, 19874 MiB
0, 2024/05/13 20:14:16.869, 100 %, 32768 MiB, 12667 MiB, 19834 MiB
0, 2024/05/13 20:14:26.870, 98 %, 32768 MiB, 13035 MiB, 19466 MiB
0, 2024/05/13 20:14:36.871, 100 %, 32768 MiB, 13035 MiB, 19466 MiB
0, 2024/05/13 20:14:46.872, 100 %, 32768 MiB, 12659 MiB, 19842 MiB
0, 2024/05/13 20:14:56.873, 100 %, 32768 MiB, 12023 MiB, 20478 MiB
0, 2024/05/13 20:15:06.873, 97 %, 32768 MiB, 13037 MiB, 19464 MiB
0, 2024/05/13 20:15:16.874, 100 %, 32768 MiB, 11617 MiB, 20884 MiB
0, 2024/05/13 20:15:26.875, 100 %, 32768 MiB, 10567 MiB, 21934 MiB
